"Date","BRANTNER DITCH_0200809","RIVERSIDE CANAL_0100503","BIG THOMPSON DITCH & MANUFACTURING CO._0400503","S. BOULDER CANON DITCH_0600593","HARMONY DITCH 1_6400511"
2000-05-09,104.00,0.00,26.00,27.94,58.00
2000-05-10,101.00,53.00,26.00,27.54,50.00
2000-05-11,96.00,151.00,25.00,26.44,42.00
2000-05-12,93.00,93.00,25.00,24.00,40.00
2000-05-13,92.00,0.00,18.00,27.68,48.00
2000-05-14,93.00,0.00,15.00,24.75,83.00
2000-05-15,92.00,0.00,15.00,18.87,106.00
2000-05-16,91.00,0.00,16.00,27.54,64.00
2000-05-17,76.00,0.00,16.00,27.86,68.00
2000-05-18,3.00,183.00,12.00,27.50,115.00
2000-05-19,23.50,497.00,8.00,27.13,115.00
2000-05-20,54.00,424.00,8.00,26.54,54.00
2000-05-21,54.00,318.00,8.00,26.06,45.00
2000-05-22,54.00,275.00,8.00,25.98,95.00
2000-05-23,54.00,117.00,7.00,23.43,196.00
2000-05-24,54.00,125.00,7.00,23.31,129.00
2000-05-25,55.00,131.00,11.00,23.99,54.00
2000-05-26,54.00,151.00,14.00,31.25,59.00
2000-05-27,51.00,164.00,14.00,28.99,55.00
2000-05-28,51.00,152.00,14.00,23.67,82.00
2000-05-29,57.00,143.00,14.00,21.19,76.00
2000-05-30,64.00,131.00,15.00,20.38,72.00
2000-05-31,66.00,139.00,15.00,19.41,102.00
2000-06-01,65.00,150.00,15.00,20.72,157.00
2000-06-02,65.00,150.00,15.00,14.54,152.00
2000-06-03,64.00,199.00,15.00,28.64,148.00
2000-06-04,64.00,193.00,15.00,26.85,152.00
2000-06-05,63.00,180.00,15.00,32.29,120.00
2000-06-06,63.00,163.00,15.00,24.00,71.00
2000-06-07,68.00,154.00,22.00,22.30,49.00
2000-06-08,76.00,146.00,27.00,22.12,37.00
2000-06-09,75.00,119.00,28.00,22.11,27.00
2000-06-10,82.00,0.00,28.00,22.14,26.00
2000-06-11,85.00,0.00,28.00,22.23,21.00
2000-06-12,83.00,0.00,27.00,23.60,18.00
2000-06-13,83.00,0.00,28.00,21.14,16.00
2000-06-14,89.00,0.00,28.00,19.93,16.00
2000-06-15,88.00,0.00,25.00,8.00,16.00
2000-06-16,50.00,0.00,24.00,0.00,16.00
2000-06-17,48.00,0.00,24.00,0.00,20.00
2000-06-18,48.00,0.00,24.00,0.00,24.00
2000-06-19,48.00,0.00,24.00,0.00,37.00
2000-06-20,48.00,0.00,24.00,0.00,59.00
2000-06-21,48.00,0.00,17.00,0.00,49.00
2000-06-22,48.00,0.00,10.00,0.00,21.00
2000-06-23,48.00,0.00,15.00,0.00,14.00
2000-06-24,48.00,0.00,15.00,0.00,12.00
2000-06-25,65.00,0.00,15.00,0.00,13.00
2000-06-26,84.00,0.00,15.00,0.00,17.00
2000-06-27,82.00,0.00,15.00,6.90,18.00
2000-06-28,77.00,0.00,15.00,9.62,20.00
2000-06-29,83.00,0.00,15.00,8.62,16.00
2000-06-30,62.00,0.00,15.00,9.79,13.00
2000-07-01,43.00,0.00,15.00,0.00,11.00
2000-07-02,43.00,0.00,15.00,0.00,11.00
2000-07-03,43.00,0.00,15.00,3.00,10.00
2000-07-04,43.00,0.00,15.00,6.53,0.00
2000-07-05,43.00,0.00,15.00,3.00,0.00
2000-07-06,43.00,0.00,22.00,0.00,0.00
2000-07-07,43.00,0.00,32.00,0.00,0.00
2000-07-08,43.00,0.00,32.00,0.00,0.00
2000-07-09,43.00,0.00,30.00,0.00,0.00
2000-07-10,43.00,0.00,30.00,0.00,12.00
2000-07-11,43.00,0.00,30.00,0.00,30.00
2000-07-12,43.00,0.00,23.00,0.00,42.00
2000-07-13,43.00,0.00,20.00,0.00,74.00
2000-07-14,43.00,0.00,20.00,0.00,89.00
2000-07-15,43.00,0.00,20.00,0.00,73.00
2000-07-16,43.00,0.00,20.00,0.00,40.00
2000-07-17,75.00,0.00,20.00,0.00,29.00
2000-07-18,96.00,192.00,22.00,0.00,28.00
2000-07-19,81.00,316.00,22.00,0.00,44.00
2000-07-20,93.00,130.00,23.00,0.00,49.00
2000-07-21,85.00,0.00,22.00,0.00,106.00
2000-07-22,48.00,0.00,23.00,0.00,141.00
2000-07-23,48.00,0.00,22.00,0.00,122.00
2000-07-24,48.00,0.00,22.00,0.00,62.00
2000-07-25,53.00,0.00,21.00,0.00,31.00
2000-07-26,50.00,0.00,21.00,0.00,21.00
2000-07-27,39.00,0.00,26.00,0.00,17.00
2000-07-28,39.00,0.00,30.00,0.00,27.00
2000-07-29,39.00,0.00,30.00,0.00,21.00
2000-07-30,39.00,0.00,29.00,0.00,38.00
2000-07-31,39.00,0.00,29.00,0.00,56.00
2000-08-01,39.00,0.00,30.00,0.00,65.00
2000-08-02,39.00,0.00,28.00,0.00,59.00
2000-08-03,39.00,0.00,26.00,0.00,57.00
2000-08-04,39.00,0.00,26.00,0.00,51.00
2000-08-05,39.00,0.00,22.00,0.00,55.00
2000-08-06,39.00,0.00,19.00,0.00,59.00
2000-08-07,39.00,0.00,19.00,0.00,30.00
2000-08-08,39.00,0.00,19.00,0.00,19.00
2000-08-09,39.00,0.00,19.00,0.00,15.00
2000-08-10,40.00,0.00,19.00,0.00,13.00
2000-08-11,41.00,0.00,23.00,0.00,10.00
2000-08-12,41.00,0.00,25.00,0.00,9.00
2000-08-13,41.00,0.00,25.00,0.00,11.00
2000-08-14,41.00,0.00,18.00,0.00,14.00
2000-08-15,41.00,0.00,15.00,0.00,13.00
2000-08-16,42.00,0.00,15.00,0.00,19.00
2000-08-17,44.00,0.00,15.00,0.00,59.00
2000-08-18,49.00,0.00,15.00,0.00,37.00
2000-08-19,59.00,0.00,17.00,0.00,30.00
2000-08-20,59.00,0.00,18.00,0.00,20.00
2000-08-21,59.00,0.00,19.00,0.00,70.00
2000-08-22,55.00,0.00,19.00,0.00,161.00
2000-08-23,44.00,0.00,19.00,0.00,183.00
2000-08-24,44.00,0.00,18.00,0.00,77.00
2000-08-25,44.00,0.00,19.00,0.00,46.00
2000-08-26,44.00,0.00,19.00,0.00,42.00
2000-08-27,44.00,0.00,19.00,0.00,57.00
2000-08-28,44.00,0.00,19.00,0.00,96.00
2000-08-29,44.00,0.00,19.00,0.00,147.00
2000-08-30,42.00,0.00,19.00,0.00,145.00
2000-08-31,31.00,0.00,19.00,0.00,161.00
2000-09-01,36.00,0.00,19.00,0.00,140.00
2000-09-02,36.00,0.00,14.00,0.00,140.00
2000-09-03,36.00,0.00,10.00,0.00,140.00
2000-09-04,36.00,0.00,10.00,0.00,140.00
2000-09-05,36.00,0.00,10.00,0.00,150.00
2000-09-06,36.00,0.00,10.00,0.00,180.00
2000-09-07,36.00,10.00,10.00,0.00,202.00
2000-09-08,36.00,144.00,10.00,0.00,269.00
2000-09-09,36.00,156.00,10.00,0.00,207.00
2000-09-10,46.00,148.00,10.00,0.00,130.00
2000-09-11,53.00,138.00,10.00,0.00,120.00
2000-09-12,53.00,121.00,10.00,0.00,95.00
2000-09-13,53.00,0.00,10.00,0.00,64.00
2000-09-14,53.00,0.00,10.00,0.00,42.00
2000-09-15,53.00,0.00,10.00,0.00,28.00
2000-09-16,53.00,0.00,10.00,0.00,24.00
2000-09-17,53.00,0.00,10.00,0.00,20.00
2000-09-18,53.00,0.00,10.00,0.00,19.00
2000-09-19,53.00,0.00,11.00,0.00,12.00
2000-09-20,53.00,0.00,11.00,0.00,27.00
2000-09-21,35.00,36.00,11.00,0.00,0.00
2000-09-22,35.00,219.00,11.00,0.00,71.00
2000-09-23,35.00,242.00,11.00,0.00,60.00
2000-09-24,35.00,292.00,12.00,0.00,55.00
2000-09-25,35.00,406.00,12.00,0.00,47.00
2000-09-26,35.00,411.00,12.00,5.03,43.00
2000-09-27,35.00,398.00,12.00,10.07,121.00
2000-09-28,35.00,364.00,9.00,10.07,207.00
2000-09-29,35.00,355.00,0.00,7.97,40.00
2000-09-30,35.00,348.00,0.00,6.00,41.00
2000-10-01,35.00,199.00,0.00,6.00,39.00
2000-10-02,35.00,200.00,0.00,5.79,45.00
2000-10-03,35.00,190.00,0.00,5.58,77.00
2000-10-04,35.00,170.00,0.00,8.85,66.00
2000-10-05,35.00,177.00,0.00,8.98,106.00
2000-10-06,35.00,187.00,0.00,9.17,112.00
2000-10-07,28.00,222.00,0.00,8.51,112.00
2000-10-08,28.00,314.00,0.00,8.46,110.00
2000-10-09,28.00,355.00,0.00,8.54,78.00
2000-10-10,28.00,360.00,0.00,10.27,64.00
2000-10-11,28.00,311.00,0.00,12.07,61.00
2000-10-12,28.00,298.00,0.00,12.07,64.00
2000-10-13,28.00,282.00,0.00,12.07,59.00
2000-10-14,25.00,270.00,0.00,10.72,81.00
2000-10-15,25.00,254.00,0.00,7.45,96.00
2000-10-16,25.00,242.00,0.00,7.45,93.00
2000-10-17,26.00,232.00,0.00,7.45,95.00
2000-10-18,26.00,269.00,0.00,7.45,88.00
2000-10-19,26.00,300.00,0.00,7.45,89.00
2000-10-20,26.00,291.00,0.00,7.45,77.00
2000-10-21,26.00,294.00,0.00,7.45,91.00
2000-10-22,26.00,317.00,0.00,7.45,102.00
2000-10-23,26.00,311.00,0.00,7.45,114.00
2000-10-24,26.00,329.00,0.00,7.45,115.00
2000-10-25,26.00,316.00,0.00,7.45,108.00
2000-10-26,20.00,314.00,0.00,7.45,101.00
2000-10-27,20.00,302.00,0.00,0.00,104.00
2000-10-28,20.00,285.00,0.00,0.00,111.00
2000-10-29,20.00,271.00,0.00,0.00,143.00
2000-10-30,20.00,258.00,0.00,0.00,158.00
2000-10-31,0.00,254.00,0.00,0.00,149.00
2000-11-01,0.00,174.00,0.00,0.00,160.00
2000-11-02,0.00,0.00,0.00,0.00,220.00
2000-11-03,0.00,0.00,0.00,0.00,200.00
2000-11-04,0.00,0.00,0.00,0.00,200.00
2000-11-05,0.00,0.00,0.00,0.00,200.00
2000-11-06,0.00,11.00,0.00,0.00,200.00
2000-11-07,0.00,141.00,0.00,0.00,200.00
2000-11-08,0.00,166.00,0.00,0.00,200.00
2000-11-09,0.00,178.00,0.00,0.00,200.00
2000-11-10,0.00,189.00,0.00,0.00,200.00
2000-11-11,0.00,195.00,0.00,0.00,200.00
2000-11-12,0.00,202.00,0.00,0.00,200.00
2000-11-13,0.00,206.00,0.00,0.00,200.00
2000-11-14,0.00,202.00,0.00,0.00,200.00
2000-11-15,0.00,208.00,0.00,0.00,200.00
2000-11-16,0.00,202.00,0.00,0.00,200.00
2000-11-17,0.00,207.00,0.00,0.00,200.00
2000-11-18,0.00,206.00,0.00,0.00,200.00
2000-11-19,0.00,206.00,0.00,0.00,200.00
2000-11-20,0.00,211.00,0.00,0.00,200.00
2000-11-21,0.00,214.00,0.00,0.00,200.00
2000-11-22,0.00,217.00,0.00,0.00,200.00
2000-11-23,0.00,230.00,0.00,0.00,200.00
2000-11-24,0.00,219.00,0.00,0.00,200.00
2000-11-25,0.00,209.00,0.00,0.00,200.00
2000-11-26,0.00,209.00,0.00,0.00,200.00
2000-11-27,0.00,209.00,0.00,0.00,200.00
2000-11-28,0.00,241.00,0.00,0.00,160.00
2000-11-29,0.00,299.00,0.00,0.00,160.00
2000-11-30,0.00,301.00,0.00,0.00,150.00
2000-12-01,0.00,301.00,0.00,0.00,150.00
2000-12-02,0.00,283.00,0.00,0.00,150.00
2000-12-03,0.00,284.00,0.00,0.00,150.00
2000-12-04,0.00,273.00,0.00,0.00,150.00
2000-12-05,0.00,277.00,0.00,0.00,150.00
2000-12-06,0.00,273.00,0.00,0.00,150.00
2000-12-07,0.00,263.00,0.00,0.00,150.00
2000-12-08,0.00,291.00,0.00,0.00,150.00
2000-12-09,0.00,342.00,0.00,0.00,90.00
2000-12-10,0.00,353.00,0.00,0.00,30.00
2000-12-11,0.00,346.00,0.00,0.00,0.00
2000-12-12,0.00,260.00,0.00,0.00,0.00
2000-12-13,0.00,120.00,0.00,0.00,0.00
2000-12-14,0.00,70.00,0.00,0.00,0.00
2000-12-15,0.00,97.00,0.00,0.00,0.00
2000-12-16,0.00,82.00,0.00,0.00,0.00
2000-12-17,0.00,93.00,0.00,0.00,0.00
2000-12-18,0.00,141.00,0.00,0.00,0.00
2000-12-19,0.00,166.00,0.00,0.00,0.00
2000-12-20,0.00,169.00,0.00,0.00,0.00
2000-12-21,0.00,169.00,0.00,0.00,0.00
2000-12-22,0.00,169.00,0.00,0.00,0.00
2000-12-23,0.00,195.00,0.00,0.00,0.00
2000-12-24,0.00,195.00,0.00,0.00,0.00
2000-12-25,0.00,195.00,0.00,0.00,0.00
2000-12-26,0.00,195.00,0.00,0.00,0.00
2000-12-27,0.00,188.00,0.00,0.00,0.00
2000-12-28,0.00,202.00,0.00,0.00,0.00
2000-12-29,0.00,205.00,0.00,0.00,0.00
2000-12-30,0.00,208.00,0.00,0.00,0.00
2000-12-31,0.00,215.00,0.00,0.00,0.00
2001-01-01,0.00,213.00,0.00,0.00,0.00
2001-01-02,0.00,239.00,0.00,0.00,0.00
2001-01-03,0.00,234.00,0.00,0.00,0.00
2001-01-04,0.00,236.00,0.00,0.00,0.00
2001-01-05,0.00,272.00,0.00,0.00,0.00
2001-01-06,0.00,269.00,0.00,0.00,0.00
2001-01-07,0.00,266.00,0.00,0.00,0.00
2001-01-08,0.00,263.00,0.00,0.00,0.00
2001-01-09,0.00,258.00,0.00,0.00,0.00
2001-01-10,0.00,238.00,0.00,0.00,0.00
2001-01-11,0.00,42.00,0.00,0.00,0.00
2001-01-12,0.00,8.00,0.00,0.00,0.00
2001-01-13,0.00,240.00,0.00,0.00,0.00
2001-01-14,0.00,244.00,0.00,0.00,0.00
2001-01-15,0.00,242.00,0.00,0.00,0.00
2001-01-16,0.00,247.00,0.00,0.00,0.00
2001-01-17,0.00,255.00,0.00,0.00,0.00
2001-01-18,0.00,270.00,0.00,0.00,0.00
2001-01-19,0.00,269.00,0.00,0.00,0.00
2001-01-20,0.00,264.00,0.00,0.00,0.00
2001-01-21,0.00,264.00,0.00,0.00,0.00
2001-01-22,0.00,266.00,0.00,0.00,0.00
2001-01-23,0.00,268.00,0.00,0.00,0.00
2001-01-24,0.00,270.00,0.00,0.00,0.00
2001-01-25,0.00,272.00,0.00,0.00,0.00
2001-01-26,0.00,277.00,0.00,0.00,0.00
2001-01-27,0.00,273.00,0.00,0.00,0.00
2001-01-28,0.00,275.00,0.00,0.00,0.00
2001-01-29,0.00,278.00,0.00,0.00,0.00
2001-01-30,0.00,282.00,0.00,0.00,0.00
2001-01-31,0.00,287.00,0.00,0.00,0.00
2001-02-01,0.00,289.00,0.00,0.00,0.00
2001-02-02,0.00,289.00,0.00,0.00,0.00
2001-02-03,0.00,291.00,0.00,0.00,0.00
2001-02-04,0.00,290.00,0.00,0.00,0.00
2001-02-05,0.00,288.00,0.00,0.00,0.00
2001-02-06,0.00,287.00,0.00,0.00,0.00
2001-02-07,0.00,265.00,0.00,0.00,0.00
2001-02-08,0.00,214.00,0.00,0.00,0.00
2001-02-09,0.00,147.00,0.00,0.00,0.00
2001-02-10,0.00,163.00,0.00,0.00,0.00
2001-02-11,0.00,263.00,0.00,0.00,0.00
2001-02-12,0.00,141.00,0.00,0.00,0.00
2001-02-13,0.00,110.00,0.00,0.00,0.00
2001-02-14,0.00,207.00,0.00,0.00,0.00
2001-02-15,0.00,212.00,0.00,0.00,0.00
2001-02-16,0.00,212.00,0.00,0.00,0.00
2001-02-17,0.00,219.00,0.00,0.00,0.00
2001-02-18,0.00,230.00,0.00,0.00,0.00
2001-02-19,0.00,228.00,0.00,0.00,0.00
2001-02-20,0.00,209.00,0.00,0.00,0.00
2001-02-21,0.00,143.00,0.00,0.00,0.00
2001-02-22,0.00,134.00,0.00,0.00,0.00
2001-02-23,0.00,123.00,0.00,0.00,0.00
2001-02-24,0.00,124.00,0.00,0.00,0.00
2001-02-25,0.00,123.00,0.00,0.00,0.00
2001-02-26,0.00,120.00,0.00,0.00,0.00
2001-02-27,0.00,117.00,0.00,0.00,0.00
2001-02-28,0.00,118.00,0.00,0.00,0.00
2001-03-01,0.00,116.00,0.00,0.00,0.00
2001-03-02,0.00,120.00,0.00,0.00,0.00
2001-03-03,0.00,115.00,0.00,0.00,0.00
2001-03-04,0.00,121.00,0.00,0.00,0.00
2001-03-05,0.00,120.00,0.00,0.00,0.00
2001-03-06,0.00,133.00,0.00,0.00,0.00
2001-03-07,0.00,191.00,0.00,0.00,0.00
2001-03-08,0.00,182.00,0.00,0.00,190.00
2001-03-09,0.00,189.00,0.00,0.00,195.00
2001-03-10,0.00,227.00,0.00,0.00,200.00
2001-03-11,0.00,245.00,0.00,0.00,200.00
2001-03-12,0.00,272.00,0.00,0.00,195.00
2001-03-13,0.00,233.00,0.00,0.00,190.00
2001-03-14,0.00,236.00,0.00,0.00,200.00
2001-03-15,0.00,226.00,0.00,0.00,210.00
2001-03-16,0.00,221.00,0.00,0.00,210.00
2001-03-17,0.00,204.00,0.00,0.00,220.00
2001-03-18,0.00,230.00,0.00,0.00,210.00
2001-03-19,0.00,228.00,0.00,0.00,200.00
2001-03-20,0.00,214.00,0.00,0.00,200.00
2001-03-21,0.00,207.00,0.00,0.00,170.00
2001-03-22,0.00,229.00,0.00,0.00,132.00
2001-03-23,0.00,297.00,0.00,0.00,30.00
2001-03-24,0.00,312.00,0.00,0.00,20.00
2001-03-25,0.00,313.00,0.00,0.00,10.00
2001-03-26,0.00,192.00,0.00,0.00,10.00
2001-03-27,0.00,0.00,0.00,0.00,10.00
2001-03-28,0.00,0.00,0.00,0.00,10.00
2001-03-29,0.00,122.00,0.00,0.00,10.00
2001-03-30,0.00,147.00,0.00,0.00,0.00
2001-03-31,0.00,151.00,0.00,0.00,0.00
2001-04-01,0.00,148.00,0.00,0.00,0.00
2001-04-02,0.00,143.00,0.00,0.00,13.00
2001-04-03,0.00,143.00,0.00,0.00,25.00
2001-04-04,41.30,155.00,0.00,0.00,38.00
2001-04-05,41.00,159.00,0.00,0.00,46.00
2001-04-06,41.00,171.00,0.00,0.00,35.00
2001-04-07,39.50,210.00,0.00,0.00,0.00
2001-04-08,39.40,234.00,0.00,0.00,0.00
2001-04-09,39.40,236.00,0.00,0.00,0.00
2001-04-10,39.40,196.00,0.00,0.00,0.00
2001-04-11,36.20,203.00,0.00,0.00,0.00
2001-04-12,35.10,277.00,0.00,0.00,0.00
2001-04-13,35.10,247.00,0.00,0.00,0.00
2001-04-14,34.50,247.00,0.00,0.00,0.00
2001-04-15,34.50,244.00,0.00,0.00,0.00
2001-04-16,34.50,242.00,0.00,0.00,0.00
2001-04-17,34.50,223.00,0.00,0.00,0.00
2001-04-18,34.50,218.00,0.00,0.00,0.00
2001-04-19,34.50,221.00,0.00,0.00,0.00
2001-04-20,34.00,216.00,0.00,0.00,0.00
2001-04-21,34.00,221.00,0.00,0.00,0.00
2001-04-22,34.50,229.00,0.00,0.00,0.00
2001-04-23,34.50,145.00,0.00,0.00,0.00
2001-04-24,34.50,137.00,0.00,0.00,0.00
2001-04-25,33.90,167.00,0.00,0.00,0.00
2001-04-26,33.50,117.00,0.00,0.00,0.00
2001-04-27,42.10,219.00,0.00,0.00,0.00
2001-04-28,59.90,208.00,0.00,0.00,0.00
2001-04-29,59.70,196.00,0.00,0.00,0.00
2001-04-30,59.50,201.00,0.00,0.00,0.00
2001-05-01,59.70,187.00,0.00,0.00,0.00
2001-05-02,46.90,205.00,0.00,0.00,43.00
2001-05-03,39.00,263.00,0.00,0.00,70.00
2001-05-04,39.40,176.00,0.00,0.00,50.00
2001-05-05,13.20,178.00,0.00,0.00,77.00
2001-05-06,0.00,213.00,0.00,0.00,65.00
2001-05-07,26.30,97.00,0.00,0.00,53.00
2001-05-08,39.40,127.00,0.00,4.00,347.00
2001-05-09,39.00,72.00,0.00,6.25,70.00
2001-05-10,39.00,68.00,0.00,6.25,33.00
2001-05-11,39.00,78.00,0.00,6.25,90.00
2001-05-12,39.40,107.00,0.00,6.25,155.00
2001-05-13,39.40,128.00,0.00,4.20,185.00
2001-05-14,39.40,148.00,0.00,6.39,230.00
2001-05-15,39.40,211.00,0.00,5.85,190.00
2001-05-16,38.70,252.00,0.00,9.35,175.00
2001-05-17,39.40,250.00,0.00,10.63,310.00
2001-05-18,45.90,252.00,0.00,10.63,320.00
2001-05-19,40.00,258.00,0.00,10.56,240.00
2001-05-20,38.10,258.00,0.00,10.35,165.00
2001-05-21,38.10,205.00,0.00,10.19,143.00
2001-05-22,38.10,126.00,12.00,10.28,125.00
2001-05-23,41.90,101.00,12.00,10.07,84.00
2001-05-24,50.60,162.00,12.00,10.07,65.00
2001-05-25,50.60,176.00,12.00,15.69,115.00
