Crop,Node,Water_Requirement_inches_per_season,Town
Small vegetables,10,27,Trinidad
Small vegetables,11,23.2,Wray
Sorghum,0,20.9,Burlington
Sorghum,1,28.8,Cheyenne Wells
Sorghum,2,25.7,Penrose
Sorghum,3,25.6,Holly
Sorghum,4,20.9,Greeley
Sorghum,5,27.4,Lamar
Sorghum,6,23.4,Fort Lupton
Sorghum,7,24.9,Rocky Ford
Sorghum,8,32.7,Walsh
Sorghum,9,22.2,Iliff
Sorghum,10,24.9,Trinidad
Sorghum,11,21,Wray
Soybeans,0,22.2,Burlington
Soybeans,1,26,Cheyenne Wells
Soybeans,2,23.2,Penrose
Soybeans,3,23.3,Holly
Soybeans,4,18.7,Greeley
Soybeans,5,25,Lamar
Soybeans,6,21.9,Fort Lupton
Soybeans,7,23,Rocky Ford
Soybeans,8,29.7,Walsh
Soybeans,9,19.7,Iliff
Soybeans,10,23.3,Trinidad
Soybeans,11,18.2,Wray
Spring grains,0,22.6,Burlington
Spring grains,1,30.6,Cheyenne Wells
Spring grains,2,24.7,Penrose
Spring grains,3,25.8,Holly
Spring grains,4,20.6,Greeley
Spring grains,5,27.7,Lamar
Spring grains,6,23,Fort Lupton
Spring grains,7,23.4,Rocky Ford
Spring grains,8,36.7,Walsh
Spring grains,9,24.8,Iliff
Spring grains,10,24.3,Trinidad
Spring grains,11,18.9,Wray
Sugar beets,0,33.7,Burlington
Sugar beets,1,37.9,Cheyenne Wells
Sugar beets,2,35,Penrose
Sugar beets,3,34.7,Holly
Sugar beets,4,27.1,Greeley
Sugar beets,5,37.3,Lamar
Sugar beets,6,32.8,Fort Lupton
Sugar beets,7,34.9,Rocky Ford
Sugar beets,8,43.6,Walsh
Sugar beets,9,29,Iliff
Sugar beets,10,35.3,Trinidad
Sugar beets,11,28.4,Wray
Winter wheat,0,18.7,Burlington
Winter wheat,1,19,Cheyenne Wells
Winter wheat,2,19,Penrose
Winter wheat,3,18.5,Holly
Winter wheat,4,17.9,Greeley
Winter wheat,5,19.1,Lamar
Winter wheat,6,18.4,Fort Lupton
Winter wheat,7,19.2,Rocky Ford
Winter wheat,8,19.8,Walsh
Winter wheat,9,17.9,Iliff
Winter wheat,10,19.2,Trinidad
Winter wheat,11,15.5,Wray
