geometry,moreinfo,statname,dwrabbrev,wdid,usgsstatid,datasource,structtype,stattype,statstatus,variable,stage,amount,units,flag,div,wd,county,utmx,utmy,locaccuracy,latdecdeg,longdecdeg,datetime
"X: -11771688.3475454, Y: 4481035.26277026, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=NORLASCO&MTYPE=DISCHRG,NORTH CHANNEL CONEJOS RIVER NEAR LA SAUSES,NORLASCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.5,0,CFS,,3,22,CONEJOS,433808.5,4128437.3,User supplied,37.300208,-105.746881,8/13/2018 12:15
"X: -11648471.4152651, Y: 4457168.72726767, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07124200,PURGATOIRE RIVER AT MADRID,PURMADCO,,7124200,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,8.91,CFS,,2,19,LAS ANIMAS,531978,4109295.1,User supplied,37.129465,-104.639989,8/13/2018 11:45
"X: -11712944.2816063, Y: 4930452.95668331, Z: NaN",http://www.northernwater.org/WaterProjects/EastSlopeWaterData.aspx,HANSEN FEEDER CANAL LOVELAND TURNOUT,HFCLOVCO,403659,ES1905,Northern Colorado Water Conservancy District (Data Provider),Reservoir,Stream,Active,DISCHRG,1.04,22.31,CFS,,1,4,LARIMER,481414,4476893,User supplied,40.442479,-105.219158,8/13/2018 12:00
"X: -11659725.5103907, Y: 4713001.13202023, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07103980,"COTTONWOOD CREEK AT WOODMEN RD NR COLO SPRINGS,",COCRWOCO,,7103980,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0.4,CFS,,2,10,EL PASO,522438.9,4310087.8,User supplied,38.939438,-104.741086,8/13/2018 11:45
"X: -11507533.5433678, Y: 4929327.70526274, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PREHILCO&MTYPE=DISCHRG,PREWITT RESERVOIR RELEASE TO HIGHLINE CANAL,PREHILCO,6403552,,Co. Division of Water Resources,Reservoir,Stream,Active,DISCHRG,-0.33,0,CFS,,1,64,WASHINGTON,637920.1,4477285.5,,40.434797,-103.373934,8/13/2018 12:45
"X: -11977727.7299746, Y: 4489427.10788046, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PINBVACO&MTYPE=DISCHRG,PINE RIVER BELOW VALLECITO RESERVOIR NEAR BAYFIELD,PINBVACO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.6,313,CFS,,7,31,LA PLATA,269936.3,4137992,User supplied,37.360153,-107.597762,8/13/2018 12:45
"X: -11707457.4818012, Y: 4780409.09548387, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLASPLCO&MTYPE=DISCHRG,SOUTH PLATTE RIVER AT SOUTH PLATTE,PLASPLCO,801813,6707500,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,3.44,700,CFS,,1,8,JEFFERSON,485375.7,4362164,,39.40887,-105.169876,8/13/2018 12:00
"X: -11684955.5459604, Y: 4542914.98009621, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SPJVRPCO&MTYPE=DISCHRG,SPANISH PEAKS JV RECHARGE POND,SPJVRPCO,,SPJVRPCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.03,0,CFS,,2,79,HUERFANO,502843,4177089,,,,8/13/2018 12:15
"X: -11542214.4906897, Y: 4588556.24835332, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ARKROCCO&MTYPE=DISCHRG,ARKANSAS RIVER NEAR ROCKY FORD,ARKROCCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.55,111,CFS,,2,17,OTERO,615313.6,4213798,User supplied,38.064604,-103.685472,8/13/2018 12:15
"X: -12035803.9606528, Y: 4462625.35775601, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LAPBRECO&MTYPE=DISCHRG,LA PLATA RIVER NEAR BREEN,LAPBRECO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.19,0,CFS,,7,33,LA PLATA,223019.6,4118126.8,,37.168543,-108.119462,8/13/2018 12:45
"X: -11717878.3764325, Y: 4898066.74880017, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SVCLYOCO&MTYPE=DISCHRG,"SAINT VRAIN CREEK AT LYONS, CO",SVCLYOCO,503207,6724000,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,3.04,37.9,CFS,,1,5,BOULDER,477581.8,4452286.5,,40.220702,-105.26349,8/13/2018 12:15
"X: -11985066.3352547, Y: 4553990.19541466, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09358550,"CEMENT CREEK AT SILVERTON, CO",CEMSILCO,,9358550,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,14.5,CFS,,7,30,SAN JUAN,265544.2,4189155.9,User supplied,37.819719,-107.663672,8/13/2018 12:00
"X: -11815664.9725847, Y: 4795003.83076895, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TCBWTCCO&MTYPE=DISCHRG,"TENMILE CREEK BELOW WEST TENMILE CREEK, CO",TCBWTCCO,,TCBWTCCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.4,17.1,CFS,,5,36,SUMMIT,401832.3,4374006.5,,39.51009,-106.141928,8/13/2018 12:30
"X: -11606260.276687, Y: 4611260.7556576, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07116500,HUERFANO RIVER NEAR BOONE,HUEBOOCO,,7116500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0,CFS,,2,14,PUEBLO,564701.4,4231038.1,User supplied,38.225002,-104.2608,8/13/2018 11:45
"X: -11524750.203576, Y: 4918057.327413, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLABALCO&MTYPE=DISCHRG,SOUTH PLATTE RIVER AT COOPER BRIDGE NEAR BALZAC,PLABALCO,103200,6759910,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,1.69,141,CFS,,1,1,MORGAN,624944.2,4468496.5,,40.357682,-103.528595,8/13/2018 12:30
"X: -12059201.3669438, Y: 4484770.14837108, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MANCHICO&MTYPE=DISCHRG,MANCOS RIVER AT CJ's BRIDGE NEAR MANCOS,MANCHICO,,MANCHICO,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.44,0.13,CFS,,7,34,MONTEZUMA,204970.6,4136337.6,,37.326889,-108.329638,8/13/2018 12:30
"X: -11867556.7465786, Y: 4534291.20553406, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BERSOUCO&MTYPE=DISCHRG,BEAR CREEK NEAR SOUTH FORK,BERSOUCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.26,0.81,CFS,,3,20,RIO GRANDE,358199.7,4171505.5,,37.679809,-106.608073,8/13/2018 12:45
"X: -11694090.4317328, Y: 4577245.00662427, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LKISBLCO&MTYPE=STORAGE,SAN ISABEL LAKE,LKISBLCO,,LKISBLCO,U.S. Forest Service (Station cooperator),,Stream,Active,STORAGE,72.78,973,AF,,2,15,PUEBLO,495627.5,4204102.5,,37.984555,-105.049792,8/13/2018 12:45
"X: -11739573.1551677, Y: 4590217.43813881, Z: NaN",http://www.uawcd.com/dcs_siteinfo.php#15C,GRAPE CREEK ABOVE WESTCLIFFE,GRABWCCO,,15C,Upper Arkansas Water Conservancy District (Data Provider),,Stream,Active,DISCHRG,,3.14,CFS,,2,13,CUSTER,459798,4214385,,38.076346,-105.45837,8/14/2013 10:30
"X: -11807785.4035719, Y: 4776369.63387372, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09044800,"MCCULLOUGH-SP-DIVERSION NEAR HOOSIER PASS, CO.",MCCDIVCO,,9044800,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0,CFS,,5,36,SUMMIT,407747.1,4359585.3,User supplied,39.380822,-106.07113,7/22/2018 21:45
"X: -11763855.1528484, Y: 4574841.10489543, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=WILCRECO&MTYPE=DISCHRG,WILLOW CREEK NEAR CRESTONE,WILCRECO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.47,1.16,CFS,,3,25,SAGUACHE,440578.7,4202428.5,User supplied,37.967534,-105.676505,8/13/2018 12:00
"X: -12009125.1586685, Y: 4465124.23706734, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BASMOUCO&MTYPE=DISCHRG,"BASIN CREEK AT THE MOUTH NEAR DURANGO, CO",BASMOUCO,,BASMOUCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.36,0,CFS,,7,30,LA PLATA,244364.7,4119437.8,,37.186429,-107.879803,8/13/2018 12:15
"X: -11892334.239858, Y: 4546481.04503133, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIOWAGCO&MTYPE=DISCHRG,RIO GRANDE RIVER AT WAGON WHEEL GAP,RIOWAGCO,,8217500,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.24,97.5,CFS,,3,20,MINERAL,338758.8,4181476.5,,37.766415,-106.830654,8/13/2018 12:15
"X: -11760566.9580675, Y: 4563154.08709307, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=DEDCRECO&MTYPE=DISCHRG,DEADMAN CREEK NEAR CRESTONE,DEDCRECO,,,Co. Division of Water Resources,,Stream,Site d,DISCHRG,0.05,0.2,CFS,,3,25,SAGUACHE,443109.5,4193221.7,User supplied,37.884719,-105.64696,9/7/2017 6:30
"X: -11979562.9535098, Y: 4936060.38543256, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09247600,YAMPA RIVER BELOW CRAIG,YAMCRACO,,9247600,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,106,CFS,,6,44,MOFFAT,278410.5,4484407.1,User supplied,40.480805,-107.614234,8/13/2018 12:15
"X: -11719739.4553606, Y: 4868089.72733255, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BOCOBOCO&MTYPE=DISCHRG,"BOULDER CREEK AT BOULDER, CO",BOCOBOCO,,,Co. Division of Water Resources,,Stream,Site d,DISCHRG,2.53,372,CFS,,1,6,BOULDER,476087.3,4429434.1,,40.01477,-105.2802,10/23/2015 14:45
"X: -11881412.7899358, Y: 4773728.91942999, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FRYMERCO&MTYPE=DISCHRG,FRYINGPAN RIVER AT MEREDITH,FRYMERCO,,9080100,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.78,22.8,CFS,,5,38,PITKIN,350740.6,4358434.5,,39.362484,-106.732536,8/13/2018 12:45
"X: -11806146.5629628, Y: 4841831.56373521, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09036000,"WILLIAMS FORK RIVER NEAR LEAL, CO",WILLEACO,,9036000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,28.5,CFS,,5,51,GRAND,409606.2,4409853,User supplied,39.833875,-106.056408,8/13/2018 12:30
"X: -11993226.3778226, Y: 4716412.81681567, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LRASMICO&MTYPE=DISCHRG,LEROUX CREEK ABOVE CARL SMITH RESERVOIR,LRASMICO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.81,20.4,CFS,,4,40,DELTA,262859,4316264,,38.963278,-107.736986,8/13/2018 12:45
"X: -11805558.5188007, Y: 4671977.46673423, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07091200,ARKANSAS RIVER NEAR NATHROP,ARKNATCO,,7091200,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,307,CFS,,2,11,CHAFFEE,408536.1,4278708.1,User supplied,38.652219,-106.051126,8/13/2018 11:45
"X: -11843192.0517097, Y: 4746370.53911132, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07083000,"HALFMOON CREEK NEAR MALTA, CO.",HALMALCO,,7083000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,10.2,CFS,,2,11,LAKE,379997,4336806.5,User supplied,39.172213,-106.389193,8/13/2018 12:30
"X: -12042106.8265262, Y: 4447144.6788099, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LONBLOCO&MTYPE=D2,"LONG HOLLOW BELOW LONG HOLLOW RESERVOIR NEAR RED MESA, CO",LONBLOCO,,LONBLOCO,Co. Division of Water Resources,,Stream,Active,D2,,0,CFS,,7,33,LA PLATA,217578.8,4105986.3,,37.057641,-108.176084,8/13/2018 12:15
"X: -11968268.8557514, Y: 4497073.30362912, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09352800,"LOS PINOS RIVER ABOVE VALLECITO RESERVOIR NEAR BAYFIELD, CO",PINAVACO,,9352800,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,28.8,CFS,,7,31,LA PLATA,277624.2,4143844.3,,,,8/13/2018 11:45
"X: -11862951.7206643, Y: 4701677.18380872, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09107000,TAYLOR RIVER AT TAYLOR PARK,TAYATPCO,,9107000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,25.8,CFS,,4,59,GUNNISON,364066.8,4302437.1,User supplied,38.860271,-106.566697,8/13/2018 12:00
"X: -11546671.7827183, Y: 4511178.29462153, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07126415,"RED ROCK CANYON CREEK AT MOUTH NR THATCHER, CO.",REDTHACO,,7126415,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0,CFS,,2,19,LAS ANIMAS,612631.9,4152800.9,User supplied,37.515293,-103.725507,8/13/2018 12:00
"X: -11762219.2988289, Y: 4572748.80052948, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SPACRECO&MTYPE=DISCHRG,SPANISH CREEK NEAR CRESTONE,SPACRECO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.19,0.64,CFS,,3,25,SAGUACHE,441857.8,4200775,User supplied,37.952719,-105.661811,8/13/2018 12:00
"X: -11790081.1507503, Y: 4770468.2921347, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06696980,TARRYALL CREEK AT UPPER STATION NEAR COMO,TARUPPCO,2302923,6696980,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,5.97,CFS,,1,23,PARK,421399,4354886,User supplied,39.339834,-105.912091,8/13/2018 11:45
"X: -11776491.0441517, Y: 4811515.67460025, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=VIDTUNCO&MTYPE=DISCHRG,VIDLER TUNNEL NEAR ARGENTINE PASS,VIDTUNCO,,9047300,Co. Division of Water Resources,,Stream,Active,DISCHRG,0,0,CFS,,5,36,SUMMIT,432196.7,4386372.2,User supplied,39.624431,-105.790008,8/13/2018 12:15
"X: -11995823.6060714, Y: 4613465.04267249, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09147025,UNCOMPAHGRE RIVER BELOW RIDGWAY RESERVOIR,UNCBRRCO,,9147025,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,165,CFS,,4,68,OURAY,258424.2,4236109.1,User supplied,38.240556,-107.760306,8/13/2018 12:30
"X: -12009941.6657304, Y: 4555492.79766461, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TROUTDWN&MTYPE=DISCHRG,TROUT LAKE DOWN VALUE,TROUTDWN,,TROUTDWN,Co. Division of Water Resources,,Stream,Equipm,DISCHRG,0,0,CFS,,4,60,SAN MIGUEL,245908,4190924,,37.830387,-107.887142,8/13/2018 12:15
"X: -11643803.5477954, Y: 4640271.55936087, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07106300,FOUNTAIN CREEK NEAR PINON,FOUPINCO,,7106300,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,126,CFS,,2,10,PUEBLO,535082.8,4253540.9,User supplied,38.429444,-104.598056,8/13/2018 12:15
"X: -11663374.082786, Y: 4691397.44281762, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07105600,"SAND CREEK ABOVE MOUTH AT COLORADO SPRINGS, CO    ",SANCOLCO,,7105600,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,3.7,CFS,,2,10,EL PASO,519639.9,4293311.8,User supplied,38.788328,-104.773862,8/13/2018 12:30
"X: -11689812.8720318, Y: 4946474.90941689, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06752280,CACHE LA POUDRE RIVER ABOVE BOXELDER CREEK NEAR TIMNATH,CLABOXCO,301673,6752280,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,21.5,CFS,,1,3,LARIMER,499037.7,4489018.7,User supplied,40.551927,-105.011365,8/13/2018 12:00
"X: -11656899.5268081, Y: 4679893.30874165, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CHIAUGCO&MTYPE=DISCHRG,"CHILCOTT DITCH AUG STATION NEAR FOUNTAIN, CO",CHIAUGCO,1000974,,Co. Division of Water Resources,Measuring Point,Stream,Active,DISCHRG,0.75,10.2,CFS,,2,10,EL PASO,524719,4284382.2,,38.70773,-104.7157,8/13/2018 12:15
"X: -12010000.5223265, Y: 4555268.73532651, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TROUTLVL&MTYPE=STORAGE,TROUT LAKE (LEVEL & ALARM),TROUTLVL,,,Co. Division of Water Resources,,Stream,Active,STORAGE,20.4,2766,AF,,4,60,SAN MIGUEL,245856,4190749,User supplied,37.828797,-107.88767,8/13/2018 12:15
"X: -11733043.9193993, Y: 4829517.50896918, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06718550,"NORTH CLEAR CREEK ABOVE MOUTH NR BLACKHAWK, CO",NCCBLACO,702347,6718550,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,2.94,CFS,,1,7,GILPIN,465755.6,4399962,User supplied,39.748877,-105.399716,8/13/2018 12:15
"X: -11690317.7681866, Y: 4634419.25197198, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ARKPORCO&MTYPE=DISCHRG,ARKANSAS RIVER AT PORTLAND,ARKPORCO,,7097000,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.25,232,CFS,,2,12,FREMONT,498611.3,4248893.5,,38.388259,-105.015915,8/13/2018 12:15
"X: -11566148.5611281, Y: 4684511.89202253, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BREOUTCO&MTYPE=DISCHRG,BRETT GRAY RESERVOIR AT SMITH RANCH NEAR RUSH (OUT,BREOUTCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.11,0.26,CFS,,2,17,LINCOLN,595558.8,4288509.5,User supplied,38.740109,-103.900478,8/13/2018 12:45
"X: -11356093.7253539, Y: 4818383.96278161, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06827000,"SF REPUBLICAN R NR CO-KS ST LINE, KS",SFRPKSCO,4901000,6827000,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,5.37,CFS,,1,49,,756162.8,4395610.6,User supplied,39.671938,-102.013516,8/13/2018 13:45
"X: -11987230.7550821, Y: 4585549.11703786, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09146020,"UNCOMPAHGRE RIVER NEAR OURAY, CO",UNCOURCO,,9146020,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,24.4,CFS,,4,68,OURAY,264547.4,4214021.1,User supplied,38.043327,-107.683115,8/13/2018 12:00
"X: -11766129.6639545, Y: 4763927.96353874, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RCKTARCO&MTYPE=DISCHRG,ROCK CREEK ABOVE CONFLUENCE WITH TARRYALL CREEK,RCKTARCO,2302915,,City of Aurora  (Station cooperator),Stream Gage,Stream,No gag,DISCHRG,0.2,1.47,CFS,,1,23,PARK,439902.1,4349676.5,User supplied,39.294381,-105.696942,7/31/2018 12:45
"X: -11752739.3046769, Y: 4913743.34590608, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=WINBYPCO&MTYPE=DISCHRG,WIND RIVER BYPASS,WINBYPCO,403113,,NCWCD/Bureau of Reclamation (Station Cooperators),Stream Gage,Stream,Active,DISCHRG,0.24,0.65,CFS,,1,4,LARIMER,451014.2,4464338.5,,40.328145,-105.576656,8/13/2018 12:00
"X: -11683618.586173, Y: 4840914.56873068, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CLEDERCO&MTYPE=DISCHRG,CLEAR CREEK AT DERBY,CLEDERCO,702342,6720000,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,2.78,7.96,CFS,,1,7,ADAMS,503789.1,4408618,,39.827555,-104.955733,8/13/2018 12:00
"X: -11788977.7417108, Y: 4770571.49578215, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=DIXCOMCO&MTYPE=DISCHRG,DIXON FLUME ON HOLLTHUSEN GULCH,DIXCOMCO,2302918,,City of Aurora  (Station cooperator),Stream Gage,Stream,No gag,DISCHRG,0.04,0.28,CFS,,1,23,PARK,422254,4354957,User supplied,39.340557,-105.902189,7/31/2018 9:45
"X: -11671362.7666054, Y: 4882845.01932084, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SHLOUTCO&MTYPE=DISCHRG,SAND HILL LAKE (OUTLET),SHLOUTCO,203890,,"Cooperative Program of CDWR, NCWCD & LSPWCD",Reservoir,Stream,Active,DISCHRG,1.22,44.04,CFS,,1,2,WELD,513155,4440667,,40.116211,-104.845625,8/13/2018 12:00
"X: -11550702.9872118, Y: 4598155.67849499, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MEROUTCO&MTYPE=DISCHRG,MEREDITH RESERVOIR (OUTFLOW),MEROUTCO,,,City of Colorado Springs  (Station cooperator),,Stream,Active,DISCHRG,0.22,5.56,CFS,,2,17,CROWLEY,608523.8,4221236,User supplied,38.132465,-103.761728,8/13/2018 12:15
"X: -11959523.9864217, Y: 4711052.76551229, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09132500,NORTH FORK GUNNISON RIVER NEAR SOMERSET,NFGSOMCO,,9132500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,68,CFS,,4,40,GUNNISON,288983.1,4311362.5,User supplied,38.925823,-107.434221,8/13/2018 12:15
