WDID,Structure_Name,Structure Name AKAs,CIU_Code,Structure_Type,Water_Source,GNIS_ID,Stream_Mile,Associated Case Numbers,Associated Permits,Associated Meters,Contacts,User Assocation,POR Start,POR End,Div,WD,County,Designated Basin,Management District,Q10,Q40,Q160,Section,Township,Range,PM,Distance E/W,Direction E/W,Distance N/S,Direction N/S,UTM x,UTM y,Latitude,Longitude,Modified,More_Information
0100510,SCHUTZ DITCH,,Non-existent structure with no contemporary or historical record (N),DITCH,SOUTH PLATTE RIVER,00201759,150.38,"CA0433, W7896",,,NO INFORMATION,,,,1,1,WELD,,,NW,SE,SE,15,4.0 N,62.0 W,S,,,,,559041.8,4462118.6,40.307495,-104.305194,4/26/2013 15:08,https://dnrweb.state.co.us/CDSS/Structures/Details/0100510
0100511,WELDON VALLEY DITCH,WELDITCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,141.2,"01CW0263, 02CW0377, 04CW0081, 04CW0090, 05CW0346, 11CW0131, 14CW3068, 15CW3156, 91CW0073, CA0433",,,"WELDON VALLEY DITCH COMPANY (BAUGH, GORDON)",,4/15/1950,10/28/2017,1,1,WELD,,,SW,NW,SE,13,4.0 N,61.0 W,S,,,,,571410,4462430,40.309334,-104.159623,4/24/2013 9:52,https://dnrweb.state.co.us/CDSS/Structures/Details/0100511
0100512,JACKSON LAKE OUT,JACKLACO,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,SOUTH PLATTE RIVER,00201759,166.27,,,,"FT MORGAN RES & IRRI CO (VASSIOS, CYNTHIA)",,6/29/1971,10/1/1987,1,1,WELD,,,SE,SW,NW,25,6.0 N,64.0 W,S,,,,,542030.5,4478730,40.458174,-104.504279,4/26/2013 15:08,https://dnrweb.state.co.us/CDSS/Structures/Details/0100512
0100513,JACKSON LAKE INLET DITCH,JACDITCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,146.93,"05CW0331, CA16704, CA2142, W2692",,,"FT MORGAN RES & IRRI CO (VASSIOS, CYNTHIA)",,5/1/1970,10/28/2017,1,1,WELD,,,NE,SW,SE,18,4.0 N,61.0 W,S,,,,,563730,4462107,40.307046,-104.250028,4/24/2013 9:56,https://dnrweb.state.co.us/CDSS/Structures/Details/0100513
0100514,FT MORGAN CANAL,MORCANCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,130.87,"00CW0261, 02CW0345, 03CW0399, 05CW0150, 09CW0283, 11CW0285, 14CW3119, 89CW0018, 96CW0116, CA0433, W2692",,,"FT MORGAN RES & IRRI CO (VASSIOS, CYNTHIA)",,4/15/1950,10/31/2017,1,1,MORGAN,,,SW,NE,SE,31,5.0 N,59.0 W,S,,,,,583500,4467460,40.353523,-104.016705,4/24/2013 9:46,https://dnrweb.state.co.us/CDSS/Structures/Details/0100514
0100515,UPPER PLATTE BEAVER CNL,UPBDITCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,118.4,"03CW0407, 10CW0298, 16CW3108, 87CW0242, 90CW0183, CA0433, CA11195, CA2283, CA47394, W2968",,,"UPPER PLATTE & BEAVER IRRIGATION CO (MORTENSEN, PHILLIP)",,4/11/1950,10/31/2017,1,1,MORGAN,,,NW,NE,NE,35,4.0 N,58.0 W,S,,,,,599132,4458899,40.274699,-103.833983,4/24/2013 9:37,https://dnrweb.state.co.us/CDSS/Structures/Details/0100515
0100516,BROWN PYOTT DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,SOUTH PLATTE RIVER,00201759,115.82,"CA0433, CA7747",,,"CANEVA, E L.",,,,1,1,MORGAN,,,NW,SW,NW,32,4.0 N,57.0 W,S,,,,,602825,4458544.8,40.271063,-103.790611,2/27/1992 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100516
0100517,DEUEL SNYDER CANAL,DEUDITCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,118.45,"03CW0222, 04CW0223, 07CW0122, 13CW3051, 90CW0183, CA0433, CA7747",,,"DEUEL & SNYDER DITCH CO (KEMBEL, LUCILLE)",,5/1/1950,10/31/2017,1,1,MORGAN,,,,SW,SE,26,4.0 N,58.0 W,S,,,,,598953,4459224,40.277648,-103.836038,4/24/2013 9:37,https://dnrweb.state.co.us/CDSS/Structures/Details/0100517
0100518,LOWER PLATTE BEAVER D,"FKA WDID 6400630, LOPLABCO",Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,110.53,"03CW0443, 10CW0044, 16CW3111, 79CW0184, 82CW0390, 89CW0103, 90CW0183, CA0433, W2969, W8438",,,"LOWER PLATTE & BEAVER IRRIGATION CO (WIND, ALLYN)",,4/1/1950,10/31/2017,1,1,MORGAN,,,NW,NE,SE,25,4.0 N,57.0 W,S,,,,,610410,4459690,40.280411,-103.701223,4/24/2013 9:25,https://dnrweb.state.co.us/CDSS/Structures/Details/0100518
0100519,TREMONT DITCH,TRMDITCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,110.54,"01CW0283, 03CW0096, 10CW0041, 81CW0407, 90CW0183, CA17282, CA2142",,,TREMONT DITCH CO,,4/11/1950,10/31/2017,1,1,MORGAN,,,SE,NW,SE,25,4.0 N,57.0 W,S,,,,,610370,4459720,40.280687,-103.701688,4/24/2013 9:25,https://dnrweb.state.co.us/CDSS/Structures/Details/0100519
0100520,GILL STEVENS DITCH,,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,106.01,"01CW0273, CA0433",,,"GILL AND STEVENS DITCH CO (HANSEN, HAROLD)",,,,1,1,MORGAN,,,,SW,NE,22,4.0 N,56.0 W,S,,,,,616434,4461968,40.300112,-103.629965,7/29/2013 15:31,https://dnrweb.state.co.us/CDSS/Structures/Details/0100520
0100521,SNYDER DITCH,,"Duplicate, inactive ID (D)",DITCH,SOUTH PLATTE RIVER,00201759,112.24,,,,"SNYDER DITCH AND RES CO (MCDILL, PAUL)",,4/19/1968,8/30/1992,1,1,MORGAN,,,,,NW,35,4.0 N,57.0 W,S,,,,,607963,4458708.2,40.271887,-103.730166,9/21/2005 11:36,https://dnrweb.state.co.us/CDSS/Structures/Details/0100521
0100522,A A SMITH DITCH,"COOLEY AUG. PLAN, ISLAND FARM CANAL",Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,110.54,"CA0433, CA8844",,,A A SMITH IRRIGATING CANAL CO,,5/1/1950,9/26/2017,1,1,MORGAN,,,SE,NW,SE,25,4.0 N,57.0 W,S,,,,,610370,4459720,40.280687,-103.701688,3/27/2003 10:19,https://dnrweb.state.co.us/CDSS/Structures/Details/0100522
0100523,SNYDER DITCH,,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,110.54,"CA17282, CA2142, CA8844",,,"SNYDER DITCH AND RES CO (MCDILL, PAUL)",,11/6/1954,9/26/2017,1,1,MORGAN,,,SE,NW,SE,25,4.0 N,57.0 W,S,,,,,610370,4459720,40.280687,-103.701688,4/26/2013 15:09,https://dnrweb.state.co.us/CDSS/Structures/Details/0100523
0100524,TROWELL DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,SOUTH PLATTE RIVER,00201759,103.59,"01CW0273, CA2142",,,TROWELL DITCH CO,,,,1,1,MORGAN,,,NE,NE,NW,13,4.0 N,56.0 W,S,,,,,619414.2,4464103.2,40.318922,-103.59451,4/26/2013 15:09,https://dnrweb.state.co.us/CDSS/Structures/Details/0100524
0100525,TETSEL DITCH,TETDITCO,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,94.94,CA0433,,,TETSEL DITCH CO,,4/21/1950,10/31/2017,1,1,MORGAN,,,,SW,SW,24,5.0 N,55.0 W,S,,,,,629090,4470950,40.379145,-103.479279,3/17/2014 13:33,https://dnrweb.state.co.us/CDSS/Structures/Details/0100525
0100526,JOHNSON EDWARDS DITCH,PREWITT INLET CANAL,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,94.89,"81CW0434, 90CW0183, CA0433, W8103",,,JOHNSON & EDWARDS DITCH COMPANY,,4/12/1950,7/13/2017,1,1,MORGAN,,,SW,SE,SW,24,5.0 N,55.0 W,S,,,,,629170,4471020,40.379763,-103.478322,4/6/2005 15:03,https://dnrweb.state.co.us/CDSS/Structures/Details/0100526
0100527,MIDDLEMIST DITCH 1,,Active Structure with contemporary diversion records (A),DITCH,BEAVER CREEK,00182928,146.31,"02CW0316, CA2142",,,"METRO WASTEWATER RECLAMATION DISTRICT (PAPLOW, RENEE)",,,,1,1,ELBERT,,,NW,NE,SW,36,6.0 S,57.0 W,S,1710,W,1980,S,609506,4371067,39.482238,-103.726708,3/26/2007 10:20,https://dnrweb.state.co.us/CDSS/Structures/Details/0100527
0100528,BUSHMAN DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,BEAVER CREEK,00182928,58.6,"01CW0273, CA3156",,,NO INFORMATION,,,,1,1,WASHINGTON,,,NW,NW,SE,5,1.0 S,55.0 W,S,,,,,622740.4,4428060.6,39.993815,-103.562237,2/18/1999 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100528
0100529,BADGER CREEK DITCH 1,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,BEAVER CREEK,00182928,53.15,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,ADAMS,,,,,SW,1,1.0 S,57.0 W,S,,,,,609310,4427553.7,39.991093,-103.719604,2/13/2007 8:06,https://dnrweb.state.co.us/CDSS/Structures/Details/0100529
0100530,BEAVER FARMERS CANAL D,,Active Structure with contemporary diversion records (A),DITCH,BEAVER CREEK,00182928,55.15,"01CW0273, CA1203",,,"QUEEN, DON",,,,1,1,MORGAN,,,,NW,NE,31,1.0 N,55.0 W,S,,,,,621529,4430357,40.014674,-103.575993,7/29/2013 15:32,https://dnrweb.state.co.us/CDSS/Structures/Details/0100530
0100531,WYLIE LIGHT FOLLMANN D,,Active Structure with contemporary diversion records (A),DITCH,BEAVER CREEK,00182928,22.92,"01CW0273, CA2142",,,"KISSLER, DAVE",,,,1,1,MORGAN,,,,NE,NW,36,3.0 N,56.0 W,S,,,,,619536,4449743,40.189567,-103.595753,7/29/2013 15:33,https://dnrweb.state.co.us/CDSS/Structures/Details/0100531
0100532,BEAVER DITCH,,Active Structure with contemporary diversion records (A),DITCH,BEAVER CREEK,00182928,22.91,"87CW0312, CA0433",,,"BEAVER DITCH COMPANY (COOK, JEFF)",,,,1,1,MORGAN,,,,NE,NW,36,3.0 N,56.0 W,S,,,,,619513,4449747,40.189606,-103.596022,7/29/2013 15:34,https://dnrweb.state.co.us/CDSS/Structures/Details/0100532
0100533,BEAVER CR SCHOOL LAND D,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,BEAVER CREEK,00182928,15.16,"01CW0273, CA1203",,,"COOK, HERMAN",,,,1,1,MORGAN,,,SW,SE,NE,11,3.0 N,56.0 W,S,,,,,618431.3,4455513.5,40.241697,-103.607663,2/13/2007 8:14,https://dnrweb.state.co.us/CDSS/Structures/Details/0100533
0100534,BEAVER CREEK DITCH,,Active Structure with contemporary diversion records (A),DITCH,BEAVER CREEK,00182928,9.47,"16CW3106, 16CW3107, CA1186",,,"CURTIS, JUSTIN",,10/31/1993,8/28/2017,1,1,MORGAN,,,,SW,SE,30,4.0 N,55.0 W,S,,,,,621364,4459679,40.278794,-103.572407,11/22/2011 10:43,https://dnrweb.state.co.us/CDSS/Structures/Details/0100534
0100535,THOMAS J MOLLOY DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,BEAVER CREEK,00182928,5.43,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,MORGAN,,,,SE,SE,17,4.0 N,55.0 W,S,,,,,623473,4462818,40.306757,-103.547001,2/27/1992 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100535
0100539,MIDDLEMIST DITCH 2,,Active Structure with contemporary diversion records (A),DITCH,MIDDLEMIST CREEK,00195017,32.97,"02CW0316, CA2142",,,"METRO WASTEWATER RECLAMATION DISTRICT (JOHNSON, JAMES E.)",,10/31/2007,10/31/2007,1,1,ELBERT,,,SW,SW,SW,25,6.0 S,57.0 W,S,,,,,609064,4372109,39.491681,-103.731676,7/5/2007 14:41,https://dnrweb.state.co.us/CDSS/Structures/Details/0100539
0100540,HASH KNIFE DITCH,,Active Structure with contemporary diversion records (A),DITCH,MIDDLEMIST CREEK,00195017,10.64,CA2142,,,"FRASIER FARMS (FRAISER, MARK)",,,,1,1,WASHINGTON,,,,NW,SW,33,4.0 S,56.0 W,S,,,,,614288,4390621,39.657759,-103.667751,5/8/2012 14:18,https://dnrweb.state.co.us/CDSS/Structures/Details/0100540
0100541,TUKE RES DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,BADGER CREEK,00182916,28.62,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,MORGAN,,,SE,NW,SE,9,1.0 N,57.0 W,S,,,,,605699,4435527.7,40.06338,-103.760593,3/13/1997 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100541
0100542,BADGER CREEK DITCH 2,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,BADGER CREEK,00182916,39.16,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,MORGAN,,,SE,SW,NE,35,1.0 N,57.0 W,S,,,,,609004,4429582.2,40.009405,-103.722847,2/13/2007 8:07,https://dnrweb.state.co.us/CDSS/Structures/Details/0100542
0100543,SCHWINDT DITCH PP,SCHWINDT D A PUMP PLA,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,BADGER CREEK,00182916,8.8,"01CW0273, CA8492",,,NO INFORMATION,,,,1,1,MORGAN,,,,,NE,21,3.0 N,57.0 W,S,,,,,605591.7,4452270.2,40.214201,-103.75911,2/18/1999 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100543
0100544,DELTA DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,SAND ARROYO CREEK,00182956,14.01,"01CW0273, CA8492",,,NO INFORMATION,,,,1,1,MORGAN,,,SW,NE,NW,16,1.0 N,58.0 W,S,,,,,595469.8,4434584.8,40.056107,-103.880655,3/2/1989 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100544
0100545,FT MORGAN CANAL GREAT WESTERN LATERAL,,Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,117.07,,,,"FT MORGAN RES & IRRI CO (VASSIOS, CYNTHIA)",,10/18/2011,10/31/2017,1,1,MORGAN,,,,SE,SW,36,4.0 N,58.0 W,S,,,,,600306,4457447,40.26148,-103.820404,1/19/2012 9:04,https://dnrweb.state.co.us/CDSS/Structures/Details/0100545
0100546,GLENN DITCH,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,SAND ARROYO CREEK,00182956,4.94,"01CW0273, CA8492",,,"ORTH, ALBERT E.",,,,1,1,MORGAN,,,NW,SE,SW,19,2.0 N,58.0 W,S,,,,,592167.1,4441573.3,40.119428,-103.918375,2/13/2007 12:45,https://dnrweb.state.co.us/CDSS/Structures/Details/0100546
0100547,SAN ARROYO DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,SAND ARROYO CREEK,00182956,0,"01CW0273, CA0433, CA2142",,,"GASP (MALONE, DIANE)",,,,1,1,MORGAN,,,NW,NE,NW,22,3.0 N,58.0 W,S,,,,,596800.7,4452436.7,40.216762,-103.862374,2/18/1999 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100547
0100548,ILLINOIS DITCH/RIVERSIDE DITCH COMBINED,"ILLDITCO, RIVERSIDE DITCH/ILLINOIS DITCH COMBINED",Active Structure with contemporary diversion records (A),DITCH,SOUTH PLATTE RIVER,00201759,160.66,,,,"PETERSON, BRAD",,6/14/2011,10/31/2017,1,1,WELD,,,,SW,SW,21,5.0 N,63.0 W,S,,,,,546943,4469914,40.37849,-104.446993,5/27/2011 12:45,https://dnrweb.state.co.us/CDSS/Structures/Details/0100548
0100549,NORTHSIDE EXT DITCH,,Active structure but diversion records are not maintained (U),DITCH,SOUTH PLATTE RIVER,00201759,168.87,W9453,,,"NORTH SIDE LATERAL IRRIGATION (TROWBRIDGE, DALE)",,,,1,1,WELD,,,SE,NE,SW,11,6.0 N,64.0 W,S,,,,,540780,4483153,40.498081,-104.518743,2/18/1999 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100549
0100550,BIJOU VALLEY D SYS PL,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,BIJOU CREEK,00180770,33.22,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,MORGAN,KIOWA-BIJOU,NORTH KIOWA-BIJOU,,,NW,35,1.0 N,60.0 W,S,,,,,579330.5,4429495.8,40.011936,-104.070478,2/13/2007 8:32,https://dnrweb.state.co.us/CDSS/Structures/Details/0100550
0100551,BIJOU RES INLET DITCH,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,BIJOU CREEK,00180770,18.83,CA0433,,,NO INFORMATION,,,,1,1,MORGAN,KIOWA-BIJOU,NORTH KIOWA-BIJOU,SE,SW,NW,5,2.0 N,59.0 W,S,,,,,583891.5,4446922.8,40.168484,-104.014783,3/13/1997 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100551
0100552,WILLIAM BUZICK SEEP D,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,BIJOU CREEK,00180770,0.35,CA2142,,,NO INFORMATION,,,,1,1,MORGAN,KIOWA-BIJOU,NORTH KIOWA-BIJOU,,SW,SW,27,4.0 N,58.0 W,S,,,,,596468.5,4459200.8,40.277729,-103.865261,3/13/1997 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100552
0100553,BARNHOUSE DITCH,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,ANTELOPE CREEK,00180822,25.69,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,WASHINGTON,KIOWA-BIJOU,NORTH KIOWA-BIJOU,,,,7,1.0 S,60.0 W,S,,,,,573274.9,4425752.2,39.978758,-104.141847,2/13/2007 8:11,https://dnrweb.state.co.us/CDSS/Structures/Details/0100553
0100554,ROCK BLUFF DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,ROCK CREEK,00180821,11.96,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,MORGAN,KIOWA-BIJOU,NORTH KIOWA-BIJOU,NE,NE,NE,8,1.0 N,60.0 W,S,,,,,575548.7,4436188.8,40.072578,-104.114005,2/18/1999 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100554
0100555,BRAMKAMP DITCH,,Active Structure with contemporary diversion records (A),DITCH,MUDDY CREEK,00180913,31.77,CA0433,,,"BRADBURY LAND AND CATTLE COMPANY (BRADBURY, THOMAS)",,6/30/2013,6/30/2015,1,1,ADAMS,KIOWA-BIJOU,NORTH KIOWA-BIJOU,,NW,NE,31,2.0 S,59.0 W,S,,,,,583201,4410451,39.839997,-104.027564,5/10/2012 14:39,https://dnrweb.state.co.us/CDSS/Structures/Details/0100555
0100556,MOORE DITCH,,Active Structure with contemporary diversion records (A),DITCH,MUDDY CREEK,00180913,20.26,"CA0433, CA2142",,,"BRADBURY LAND AND CATTLE COMPANY (BRADBURY, THOMAS); FIVE PARTNERS LLC (BRADBURY, THOMAS)",,,,1,1,ADAMS,KIOWA-BIJOU,NORTH KIOWA-BIJOU,SE,SE,NE,30,1.0 S,59.0 W,S,,,,,583635,4421248,39.93722,-104.021109,5/8/2012 13:59,https://dnrweb.state.co.us/CDSS/Structures/Details/0100556
0100557,D T DITCH,,"Inactive structure which physically exist, but no diversion records are maintained (I)",DITCH,MUDDY CREEK,00180913,11.6,"01CW0273, CA2142",,,CALHUN RANCH CORP,,,,1,1,MORGAN,KIOWA-BIJOU,NORTH KIOWA-BIJOU,NE,SW,NE,32,1.0 N,59.0 W,S,,,,,584854.6,4429457.3,40.011052,-104.005766,1/15/2016 13:37,https://dnrweb.state.co.us/CDSS/Structures/Details/0100557
0100558,M H DITCH 2,,Active structure but diversion records are not maintained (U),DITCH,EAST BIJOU CREEK,00184780,41.69,CA2142,,,TRIPLE R FARM PARTNERSHIP,,,,1,1,ELBERT,KIOWA-BIJOU,,,NW,NW,23,7.0 S,59.0 W,S,1013,W,824,N,588644,4364979,39.429799,-103.97006,2/27/1992 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100558
0100559,WASSMAN DITCH,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,EAST BIJOU CREEK,00184780,41.93,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,ELBERT,KIOWA-BIJOU,NORTH KIOWA-BIJOU,SE,SE,SE,15,7.0 S,59.0 W,S,,,,,588228.8,4365326.6,39.432967,-103.974828,2/14/2007 4:49,https://dnrweb.state.co.us/CDSS/Structures/Details/0100559
0100561,MEADOW SPRINGS DITCH,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,BIJOU CREEK,00180770,45.34,"01CW0273, CA2142",,,NO INFORMATION,,,,1,1,ADAMS,KIOWA-BIJOU,NORTH KIOWA-BIJOU,SW,SW,NW,6,3.0 S,60.0 W,S,,,,,572749.6,4408129.7,39.820043,-104.149962,2/13/2007 14:47,https://dnrweb.state.co.us/CDSS/Structures/Details/0100561
0100563,AGATE DITCH,,Active structure but diversion records are not maintained (U),DITCH,AGATE CREEK,00195074,4.33,CA2142,,,"L & M RANCH, LLC (MCCARTY, MARY C.)",,,,1,1,ELBERT,KIOWA-BIJOU,NORTH KIOWA-BIJOU,,SE,NE,12,7.0 S,59.0 W,S,,,,,591317.7,4367993.1,39.456668,-103.938578,3/2/1989 0:00,https://dnrweb.state.co.us/CDSS/Structures/Details/0100563
0100564,M H DITCH 1,,"Historical structure only - no longer exists or has records, but has historical data (H)",DITCH,EAST BIJOU CREEK,00184780,39.94,"01CW0273, CA2142",,,"MONKS, HAROLD & MARJORIE",,,,1,1,ELBERT,KIOWA-BIJOU,NORTH KIOWA-BIJOU,NW,NW,NW,15,7.0 S,59.0 W,S,,,,,586800.6,4366731.6,39.44577,-103.991238,2/13/2007 14:36,https://dnrweb.state.co.us/CDSS/Structures/Details/0100564
